A2BBX6,tau,tau_prob,tau_pred,t,t_pred,A,B1,B2,X,rA,rB1,rB2,rX,nA,nB1,nB2,nX,icsd_label
Pb2LuNbO6,3.655353043238597,0.7604441396021202,1,0.9502620774838976,1,Pb,Lu,Nb,O,1.49,0.861,0.64,1.4,2,3,5,-2,1.0
Pb2CoMoO6,3.6571091679716563,0.7598310436216485,1,0.9884104462535052,1,Pb,Co,Mo,O,1.49,0.745,0.59,1.4,2,2,6,-2,1.0
Pb2NbYbO6,3.659183787801621,0.7591052158450421,1,0.9487180118983852,1,Pb,Nb,Yb,O,1.49,0.64,0.868,1.4,2,5,3,-2,1.0
Pb2TaYbO6,3.659183787801621,0.7591052158450421,1,0.9487180118983852,1,Pb,Ta,Yb,O,1.49,0.64,0.868,1.4,2,5,3,-2,1.0
Pb2MoZnO6,3.659938516334875,0.7588407526268824,1,0.9896070690697928,1,Pb,Mo,Zn,O,1.49,0.59,0.74,1.4,2,6,2,-2,1.0
Pb2CuWO6,3.659938516334875,0.7588407526268824,1,0.9896070690697928,1,Pb,Cu,W,O,1.49,0.73,0.6,1.4,2,2,6,-2,1.0
Pb2CdTeO6,3.6603367290370787,0.7587011266853813,1,0.9482777715216344,1,Pb,Cd,Te,O,1.49,0.95,0.56,1.4,2,2,6,-2,1.0
Ba2ReSmO6,3.6621465988507658,0.7580657558702292,1,0.9314623244514256,1,Ba,Re,Sm,O,1.61,0.55,1.22,1.4,2,6,2,-2,1.0
Ba2MoSrO6,3.6621465988507658,0.7580657558702292,1,0.9314623244514256,1,Ba,Mo,Sr,O,1.61,0.59,1.18,1.4,2,6,2,-2,1.0
Ba2CeUO6,3.6621465988507658,0.7580657558702292,1,0.9314623244514256,1,Ba,Ce,U,O,1.61,1.01,0.76,1.4,2,3,5,-2,1.0
Ba2EuWO6,3.6621465988507658,0.7580657558702292,1,0.9314623244514256,1,Ba,Eu,W,O,1.61,1.17,0.6,1.4,2,2,6,-2,1.0
Rb2CrLiF6,3.6627567769244207,0.7578512617742489,1,1.068984229303083,-1,Rb,Cr,Li,F,1.72,0.615,0.76,1.33,1,3,1,-1,1.0
Pb2MgWO6,3.666095201445609,0.7566751662388334,1,0.992009027975302,1,Pb,Mg,W,O,1.49,0.72,0.6,1.4,2,2,6,-2,1.0
Pb2NbTmO6,3.6664919455206313,0.7565351105904243,1,0.9460826840875564,1,Pb,Nb,Tm,O,1.49,0.64,0.88,1.4,2,5,3,-2,1.0
Ba2GaTaO6,3.6696020594041583,0.755435094392947,1,1.048468675552467,1,Ba,Ga,Ta,O,1.61,0.62,0.64,1.4,2,3,5,-2,1.0
Ba2TaVO6,3.6696020594041583,0.755435094392947,1,1.048468675552467,1,Ba,Ta,V,O,1.61,0.68,0.58,1.4,2,4,4,-2,1.0
Ba2GaNbO6,3.6696020594041583,0.755435094392947,1,1.048468675552467,1,Ba,Ga,Nb,O,1.61,0.62,0.64,1.4,2,3,5,-2,1.0
Ba2NbVO6,3.6696020594041583,0.755435094392947,1,1.048468675552467,1,Ba,Nb,V,O,1.61,0.68,0.58,1.4,2,4,4,-2,1.0
K2GaLiF6,3.67288344701482,0.7542704516677187,1,1.0396570000614087,1,K,Ga,Li,F,1.64,0.62,0.76,1.33,1,3,1,-1,1.0
Pb2MgMoO6,3.672919312719309,0.7542576991210937,1,0.9944226752453148,1,Pb,Mg,Mo,O,1.49,0.72,0.59,1.4,2,2,6,-2,1.0
Ba2SrWO6,3.6765641903937087,0.7529591262500923,1,0.929428563917689,1,Ba,Sr,W,O,1.61,1.18,0.6,1.4,2,2,6,-2,1.0
